조사연도,지역 구분,채소류 종류,품목,재배면적(시설)_ha,단수(시설)_kg,생산량(시설)_톤
2015,경기도 용인시,과채류계,딸기,18098,8.4,50900
2015,경기도 과천시,엽채류,쑥갓,4557,9.4,7638
2015,경기도 김포시,엽채류,부추,1000,4,4000
2015,경기도 연천군,조미채소계,대파,5566,4.6,8500
2015,경기도 의정부시,엽채류,봄배추,1070,10.5,3730
2015,경기도 부천시,엽채류,상추,31500,23.8,62060
2015,경기도 파주시,조미채소계,대파,2363,7.7,6000
2015,경기도 이천시,양채류계,신선초,6000,16.7,33400
2015,경기도 포천시,조미채소계,고추,28084,1.1,4676
2015,경기도 양평군,과채류계,토마토,10330,31.8,52100
2015,경기도 고양시,엽채류,부추,103263,57.6,230450
2015,경기도 여주시,엽채류,얼갈이배추,60712,18.9,172358
2015,경기도 포천시,양채류계,피망,3012,3.4,10200
2015,경기도 광명시,조미채소계,쪽파,1200,3,3645
2015,경기도 양주시,과채류계,호박,12600,46.7,65611
2015,경기도 시흥시,엽채류,가을배추,3300,10.3,34000
2015,경기도 김포시,엽채류,미나리,1000,3,2950
2015,경기도 광명시,과채류계,가지,1500,3.3,4985
2015,경기도 광주시,엽채류,부추,10398,9,31285
2015,경기도 가평군,엽채류,얼갈이배추,13727,6.5,30000
2015,경기도 이천시,엽채류,시금치,152995,54.2,324971
2015,경기도 하남시,엽채류,부추,24850,29.8,82350
2015,경기도 평택시,과채류계,토마토,65887,72,303641
2015,경기도 동두천시,엽채류,상추,6391,14.7,15780
2015,경기도 수원시,엽채류,미나리,38000,5.5,210000
2015,경기도 오산시,과채류계,오이,4620,21.5,49900
2015,경기도 포천시,과채류계,가지,4000,5.1,20500
2015,경기도 가평군,조미채소계,고추,2660,1,868
2015,경기도 이천시,조미채소계,대파,61247,20.3,141012
2015,경기도 안성시,엽채류,시금치,36673,10.9,81770
2015,경기도 이천시,양채류계,케일,46088,33.3,170527
2015,경기도 광명시,양채류계,결구상추,3305,3,9810
2015,경기도 군포시,과채류계,토마토,18000,21,126000
