year,purpose,model,type,district,size,value
2015,purpose,van,normal,Ulsan,large,226.1
2015,purpose,lorry,normal,Seoul,small,92.4
2015,purpose,lorry,normal,Seoul,mid,114.4
2015,purpose,lorry,normal,Seoul,large,181.3
2015,purpose,lorry,normal,Busan,small,78.3
2015,purpose,lorry,normal,Busan,mid,122.6
2015,purpose,lorry,normal,Busan,large,192.9
2015,purpose,lorry,normal,Daegu,small,86.5
2015,purpose,lorry,normal,Daegu,mid,131.1
2015,purpose,lorry,normal,Daegu,large,203.5
2015,purpose,lorry,normal,Incheon,small,102.2
2015,purpose,lorry,normal,Incheon,mid,127.2
2015,purpose,lorry,normal,Incheon,large,179.5
2015,purpose,lorry,normal,Gwangju,small,81.5
2015,purpose,lorry,normal,Gwangju,mid,116.9
2015,purpose,lorry,normal,Gwangju,large,209
2015,purpose,lorry,normal,Daejeon,small,92.4
2015,purpose,lorry,normal,Daejeon,mid,142.1
2015,purpose,lorry,normal,Daejeon,large,204.6
2015,purpose,lorry,normal,Ulsan,small,68.7
2015,purpose,lorry,normal,Ulsan,mid,95.9
2015,purpose,lorry,normal,Ulsan,large,193.9
2016,non-purpose,saloon,normal,Seoul,light,24
2016,non-purpose,saloon,normal,Seoul,small,20.1
2016,non-purpose,saloon,normal,Seoul,mid,28.8
2016,non-purpose,saloon,normal,Seoul,large,32.3
2016,non-purpose,saloon,normal,Busan,light,25
2016,non-purpose,saloon,normal,Busan,small,21.3
2016,non-purpose,saloon,normal,Busan,mid,31.3
2016,non-purpose,saloon,normal,Busan,large,35.9
2016,non-purpose,saloon,normal,Daegu,light,23.2
2016,non-purpose,saloon,normal,Daegu,small,21.1
2016,non-purpose,saloon,normal,Daegu,mid,31.4
2016,non-purpose,saloon,normal,Daegu,large,37.3
2016,non-purpose,saloon,normal,Incheon,light,24.9
2016,non-purpose,saloon,normal,Incheon,small,21.8
2016,non-purpose,saloon,normal,Incheon,mid,31.8
2016,non-purpose,saloon,normal,Incheon,large,37.7
2016,non-purpose,saloon,normal,Gwangju,light,23.2
2016,non-purpose,saloon,normal,Gwangju,small,22.1
2016,non-purpose,saloon,normal,Gwangju,mid,32.2
2016,non-purpose,saloon,normal,Gwangju,large,38.4
2016,non-purpose,saloon,normal,Daejeon,light,23
2016,non-purpose,saloon,normal,Daejeon,small,21.5
2016,non-purpose,saloon,normal,Daejeon,mid,31.9
2016,non-purpose,saloon,normal,Daejeon,large,37.2
2016,non-purpose,saloon,normal,Ulsan,light,23.6
2016,non-purpose,saloon,normal,Ulsan,small,21.9
2016,non-purpose,saloon,normal,Ulsan,mid,31
2016,non-purpose,saloon,normal,Ulsan,large,35.5
2016,non-purpose,saloon,multipurpose,Seoul,mid,36.2
2016,non-purpose,saloon,multipurpose,Seoul,large,36
2016,non-purpose,saloon,multipurpose,Busan,mid,38.6
2016,non-purpose,saloon,multipurpose,Busan,large,38
2016,non-purpose,saloon,multipurpose,Daegu,mid,39.7
2016,non-purpose,saloon,multipurpose,Daegu,large,39.8
2016,non-purpose,saloon,multipurpose,Incheon,mid,38.4
2016,non-purpose,saloon,multipurpose,Incheon,large,38.5
2016,non-purpose,saloon,multipurpose,Gwangju,mid,39.9
2016,non-purpose,saloon,multipurpose,Gwangju,large,39.8
2016,non-purpose,saloon,multipurpose,Daejeon,mid,39.5
2016,non-purpose,saloon,multipurpose,Daejeon,large,39.6
2016,non-purpose,saloon,multipurpose,Ulsan,mid,36.9
2016,non-purpose,saloon,multipurpose,Ulsan,large,37.5
2016,non-purpose,van,normal,Seoul,small,36.4
2016,non-purpose,van,normal,Seoul,mid,39.3
2016,non-purpose,van,normal,Seoul,large,49.5
2016,non-purpose,van,normal,Busan,small,41.1
2016,non-purpose,van,normal,Busan,mid,39.2
2016,non-purpose,van,normal,Busan,large,47.8
2016,non-purpose,van,normal,Daegu,small,34.4
2016,non-purpose,van,normal,Daegu,mid,39.4
2016,non-purpose,van,normal,Daegu,large,49.9
